X|Y|OBJECTID|primary_key|final_case_type|occ_year|occ_dt|obfAddress|priority|zone|grid|how_received|unit_id1|unit_id2|unit_id3|report_flag|case_status|cleared_by|x_rand|y_rand|disclaimer|place_name|CFSType
-111.961224890993023|33.40922571712364|3210|TE201372619|SECCHK|2013|2013-06-11T09:54:09.000Z|1XXX S PRIEST DR|2|1|0509|S|1P12|||N|Y|2|686403|876425|Point has not been altered|MOTEL 6|Other Officer Initiated Call
-111.919961958375097|33.371236853394649|3211|TE201372618|VEHICL|2013|2013-06-11T09:53:51.000Z| LAKESHORE DR / E SOUTHSHORE DR|2|6|2312|S|T608|||N|Y|8|698994|862600|Point has not been altered||Other Officer Initiated Call
-111.92221720225055|33.448007975836468|3212|TE201372613|SUBJEC|2013|2013-06-11T09:47:28.000Z| BRIDAL WREATH ST / E MARIGOLD LN|2|2|0402|S|2P22|||N|Y|2|698307|890533|Point has not been altered||Other Officer Initiated Call
-111.93681136003903|33.411768860417382|3213|TE201372612|INVEST|2013|2013-06-11T09:44:19.000Z|1XX E 15TH ST|3|1|0909|S|T43|||N|Y|2|693853|877348|Point has not been altered||Other Officer Initiated Call
-111.910034908674703|33.39583230179727|3214|TE201372615|647T|2013|2013-06-11T09:47:46.000Z|3XXX S MCCLINTOCK DR|3|4|1514|T|2E41|||N|Y|2|702024|871549|Point has not been altered||Transient Call
-111.92627511465713|33.410126577816072|3215|TE201372626|585M|2013|2013-06-11T10:01:09.000Z| VISTA DEL CERRO DR / S RURAL RD|2|2|1010|9|1P23|||N|Y|2|697068|876750|Point has not been altered||Traffic Hazard Call
-111.909646308342388|33.379531431389758|3216|TE201372616|SECCHK|2013|2013-06-11T09:53:28.000Z|5XXX S MCCLINTOCK DR|2|6|2014|S|1P61|||N|Y|2|702143|865618|Point has not been altered|FRYS FOOD & DRUG STORE|Other Officer Initiated Call
-111.940862502704491|33.425658555602006|3217|TE201372614|911M|2013|2013-06-11T09:47:28.000Z|2X W 5TH ST|2|DT|0704|9|1P24|||N|Y|2|692618|882402|Point has not been altered| in TRAILS|911 Hangup Call
-111.971909368606603|33.3490338090145|3218|TE201372581|245R|2013|2013-06-11T08:09:23.000Z|IXX / W ELLIOT RD|1|5|2904|T|1P41|1P51|1P41|Y|Y|5|683131|854526|Point has not been altered||Assault Call
-111.952182962035693|33.416017191951411|3219|TE201372625|VEHICL|2013|2013-06-11T10:00:15.000Z| 12TH ST / S HARDY DR|2|1|0806|S|T607|||N|Y|2|689163|878895|Point has not been altered||Other Officer Initiated Call
-111.935363517903227|33.384257499838604|3220|TE201372605|900|2013|2013-06-11T09:18:23.000Z|4XXX S COLLEGE AVE|2|5|1913|T|2E31|2E32|1P61|N|Y|7|694293|867338|Point has not been altered|PALMER PARK|Check Welfare Call
-111.922210695217743|33.448794015096411|3221|TE201372630|VEHICL|2013|2013-06-11T10:08:42.000Z| LILAC DR / N BRIDAL WREATH ST|2|2|0401|S|2P22|||N|Y|W|698309|890819|Point has not been altered||Other Officer Initiated Call
-111.892070536034723|33.392257105891204|3222|TE201372595|INVEST|2013|2013-06-11T08:55:01.000Z|3XXX S PRICE RD SB|3|4|2104|S|T601|||N|Y|2|707507|870249|Point has not been altered||Other Officer Initiated Call
-111.927172520478265|33.378582980851398|3223|TE201372634|VEHICL|2013|2013-06-11T10:24:11.000Z|9XX E BASELINE RD|2|6|2012|S|T608|||N|Y|2|696793|865273|Point has not been altered|QT|Other Officer Initiated Call
-111.920348258475187|33.365891158971245|3224|TE201372638|911M|2013|2013-06-11T10:31:50.000Z|6XXX S LAKESHORE DR|2|6|2305|9|1P61|||N|Y|2|698876|860655|Point has not been altered|MARCOS DE NIZA HIGH SCHOOL|911 Hangup Call
-111.954819264217235|33.344062823415342|3225|TE201372585|707|2013|2013-06-11T08:13:59.000Z|8XXX S HARDY DR|4|5|2903|T|P53|2E61|2E52|Y|Y|5|688349|852715|Point has not been altered|US AIRWAYS|Bomb Threat Call
-111.895952627105871|33.380439628030551|3226|TE201372620|240|2013|2013-06-11T09:54:52.000Z|2XXX E ELLIS DR|2|6|2115|T|2E61|2P61|P52|N|Y|7|706323|865949|Point has not been altered||Assault Call
-111.926267340540036|33.428821200877962|3227|TE201368790|390D|2013|2013-06-02T02:55:52.000Z| RIO SALADO PKWY / S RURAL RD[JE|2|1|0706|S|4E22|4E23|B708|Y|Y|5|697071|883552|Point has not been altered||Drunk Driver Call
-111.927172520478265|33.378582980851398|3228|TE201372633|VEHICL|2013|2013-06-11T10:23:43.000Z|9XX E BASELINE RD|2|6|2012|S|T608|||N|Y|2|696793|865273|Point has not been altered|QT|Other Officer Initiated Call
-111.941511089586953|33.378220896264729|3229|TE201372637|961|2013|2013-06-11T10:27:56.000Z| BASELINE RD / S ASH AVE|2|5|1908|T|2T50|2T50|T608|Y|Y|6|692416|865142|Point has not been altered||Traffic Accident Call
-111.975903290333761|33.42434952746536|3230|TE201372643|FALSE|2013|2013-06-11T10:40:28.000Z|5XX S 48TH ST|2|1|0521|T|2E21|||N|Y|2|681927|881930|Point has not been altered||Alarm Call
